case,userId,behavior,url,ip,userAgent,createTime,requestTime
case00001,步卓伦,登录邮箱,http://192.168.3.111:6080/login.php,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:55.497,2024-06-17 01:57:00.425000
case00001,步卓伦,获取用户信息,http://192.168.3.111:6080/main.php?token=13d9ce65a947a6555adc994dcd9bf992&email=bzl@junan.home,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:55.546,2024-06-17 01:57:01.827000
case00001,步卓伦,页面查询,http://192.168.3.111:6080/main.php?sessid=2eba4313298e8d64f3ce0d58c671747a&act=main&retid=624484996,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:55.832,2024-06-17 01:57:01.853000
case00001,步卓伦,手动查收邮件,http://192.168.3.111:6080/main.php?sessid=2eba4313298e8d64f3ce0d58c671747a&act=msgnum&autocheck=0&retid=0.11813389503747329,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:56.843,2024-06-17 01:57:01.866000
case00001,步卓伦,已发送,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=msglist&popt=list,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:58.143,2024-06-17 01:57:01.877000
case00001,步卓伦,手动查收邮件,http://192.168.3.111:6080/main.php?sessid=2eba4313298e8d64f3ce0d58c671747a&act=msgnum&autocheck=0&retid=0.2607787428782202,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:58.676,2024-06-17 01:57:01.894000
case00001,步卓伦,查看邮件,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=readmsg&popt=,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:56:59.489,2024-06-17 01:57:01.902000
case00001,步卓伦,已发送,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=msglist&popt=,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:05.137,2024-06-17 01:57:08.193000
case00001,步卓伦,收件箱,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=msglist&popt=list,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:09.237,2024-06-17 01:57:14.407000
case00001,步卓伦,手动查收邮件,http://192.168.3.111:6080/main.php?sessid=2eba4313298e8d64f3ce0d58c671747a&act=msgnum&autocheck=0&retid=0.3446983027814938,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:10.253,2024-06-17 01:57:14.429000
case00001,步卓伦,查看邮件,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=readmsg&popt=,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:10.888,2024-06-17 01:57:14.436000
case00001,步卓伦,查看邮件,http://192.168.3.111:6080/main.php?sessid=2eba4313298e8d64f3ce0d58c671747a&act=showbody&folder=INBOX&msgid=1&retid=0.13861107285804153&_=1718589418001,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:11.905,2024-06-17 01:57:14.451000
case00001,步卓伦,关闭已读邮件,http://192.168.3.111:6080/main.php?psid=2eba4313298e8d64f3ce0d58c671747a&pact=readmsg&popt=close,192.168.3.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,2024-06-17 01:57:12.624,2024-06-17 01:57:14.476000
